,x,y,z
1487,136510.6861,1419337.3982,83.11859999999999
1488,136511.229,1419337.49885,83.1918
1489,136512.3392,1419337.70625,83.31685
1490,136513.9862,1419338.0082,83.3626
1491,136514.53214999998,1419338.10885,83.36564999999999
1492,136515.0842,1419338.2095,83.37175
1493,136517.8353,1419338.7097,83.3626
1494,136518.38735,1419338.81035,83.3626
1495,136520.2448,1419339.3807,83.27415
1496,136519.68665000002,1419339.28005,83.28939999999999
1497,136519.14985000002,1419339.18245,83.30465
1498,136516.9386,1419338.7829,83.3565
1499,136516.38045,1419338.6792000001,83.35040000000001
1500,136515.8406,1419338.5816,83.34429999999999
1501,136513.0712,1419338.0814,83.38700000000001
1502,136510.8813,1419337.6726999998,83.15825
1503,136510.32925,1419337.569,83.09115
1504,136509.7711,1419337.46835,83.10335
1505,136507.569,1419337.07185,83.18875
1506,136507.0078,1419336.9742500002,83.3199
1507,136506.4527,1419336.8736,83.31075000000001
1508,136505.90675,1419336.776,83.3077
1509,136503.1404,1419336.2666500001,83.1979
1510,136500.38319999998,1419335.7542500002,82.94475
1511,136498.15975,1419335.36385,83.21925
1512,136497.61685,1419335.2692999998,83.34429999999999
1513,136497.0587,1419335.16865,83.39005
1514,136496.50055,1419335.0710500001,83.39615
1515,136495.9546,1419334.9704,83.4053
1516,136493.73725,1419334.5677999998,83.3809
1517,136493.1852,1419334.4701999999,83.39005
1518,136492.63925,1419334.3695500002,83.40225
1519,136489.879,1419333.86935,83.33515
1520,136488.2198,1419333.5613,83.1308
1521,136487.66165,1419333.4637,83.24974999999999
1522,136487.1035,1419333.3630499998,83.21315
1523,136486.5606,1419333.26545,83.24974999999999
1524,136484.34325,1419332.8658999999,83.23145
1525,136483.78815,1419332.76525,83.26195
1526,136483.2422,1419332.6707000001,83.35040000000001
1527,136482.6871,1419332.5639499999,83.2589
1528,136479.92075,1419332.05765,83.06675
1529,136477.70645,1419331.652,82.98134999999999
1530,136477.16965,1419331.56355,83.1308
1531,136474.3972,1419331.06335,83.17045
1532,136473.85735,1419330.96575,83.17349999999999
1533,136473.2992,1419330.8651,83.17654999999999
1534,136470.54809999999,1419330.36795,83.2345
1535,136469.99300000002,1419330.2673000002,83.2589
1536,136469.44095000002,1419330.1697,83.2833
1537,136466.6746,1419329.6512,82.8197
1538,136465.02455,1419329.3492500002,82.73734999999999
1539,136464.46945,1419329.25165,82.82275
1540,136463.93875,1419329.16625,83.0515
1541,136461.1846,1419328.67215,83.15825
1542,136460.6478,1419328.57455,83.16435
1543,136460.08965,1419328.47695,83.17349999999999
1544,136459.5376,1419328.3732500002,83.10335
1545,136457.35684999998,1419327.9859,83.2528
1546,136456.80175,1419327.8852499998,83.28025
1547,136456.25274999999,1419327.7846,83.27109999999999
1548,136451.33005000002,1419326.8879,83.12775
1549,136450.78105,1419326.79335,83.18875
1550,136450.23205,1419326.6926999998,83.20705
1551,136449.68915,1419326.59205,83.10335
